CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,MR.,JON,YANG,1966-04-08,M,M,90000,2,Bachelors,Professional,Y
11001,MR.,EUGENE,HUANG,1965-05-14,S,M,60000,3,Bachelors,Professional,N
11002,MR.,RUBEN,TORRES,1965-08-12,M,M,60000,3,Bachelors,Professional,Y
11003,MS.,CHRISTY,ZHU,1968-02-15,S,F,70000,0,Bachelors,Professional,N
11004,MRS.,ELIZABETH,JOHNSON,1968-08-08,S,F,80000,5,Bachelors,Professional,Y
11005,MR.,JULIO,RUIZ,1965-08-05,S,M,70000,0,Bachelors,Professional,Y
11007,MR.,MARCO,MEHTA,1964-05-09,M,M,60000,3,Bachelors,Professional,Y
11008,MRS.,ROBIN,VERHOFF,1964-07-07,S,F,60000,4,Bachelors,Professional,Y
11009,MR.,SHANNON,CARLSON,1964-04-01,S,M,70000,0,Bachelors,Professional,N
11010,MS.,JACQUELYN,SUAREZ,1964-02-06,S,F,70000,0,Bachelors,Professional,N
11011,MR.,CURTIS,LU,1963-11-04,M,M,60000,4,Bachelors,Professional,Y
11012,MRS.,LAUREN,WALKER,1968-01-18,M,F,100000,2,Bachelors,Management,Y
11013,MR.,IAN,JENKINS,1968-08-06,M,M,100000,2,Bachelors,Management,Y
11014,MRS.,SYDNEY,BENNETT,1968-05-09,S,F,100000,3,Bachelors,Management,N
11015,MS.,CHLOE,YOUNG,1979-02-27,S,F,30000,0,Partial College,Skilled Manual,N
11016,MR.,WYATT,HILL,1979-04-28,M,M,30000,0,Partial College,Skilled Manual,Y
11017,MRS.,SHANNON,WANG,1944-06-26,S,F,20000,4,High School,Skilled Manual,Y
11018,MR.,CLARENCE,RAI,1944-10-09,S,M,30000,2,Partial College,Clerical,Y
11019,MR.,LUKE,LAL,1978-03-07,S,M,40000,0,High School,Skilled Manual,N
11020,MR.,JORDAN,KING,1978-09-20,S,M,40000,0,High School,Skilled Manual,N
11021,MS.,DESTINY,WILSON,1978-09-03,S,F,40000,0,Partial College,Skilled Manual,N
11022,MR.,ETHAN,ZHANG,1978-10-12,M,M,40000,0,Partial College,Skilled Manual,Y
11023,MR.,SETH,EDWARDS,1978-10-11,M,M,40000,0,Partial College,Skilled Manual,Y
11024,MR.,RUSSELL,XIE,1978-09-17,M,M,60000,0,Partial College,Skilled Manual,Y
11025,,ALEJANDRO,BECK,1945-12-23,M,,10000,2,Partial High School,Clerical,Y
11026,MR.,HAROLD,SAI,1946-04-03,S,M,30000,2,Partial College,Clerical,N
11027,MR.,JESSIE,ZHAO,1946-12-07,M,M,30000,2,Partial College,Clerical,Y
11028,MRS.,JILL,JIMENEZ,1946-04-11,M,F,30000,2,Partial College,Clerical,Y
11029,MR.,JIMMY,MORENO,1946-12-21,M,M,30000,2,Partial College,Clerical,Y
11030,MRS.,BETHANY,YUAN,1947-02-22,M,F,10000,2,Partial High School,Clerical,Y
11031,MRS.,THERESA,RAMOS,1947-08-22,M,F,20000,4,High School,Skilled Manual,Y
11032,MRS.,DENISE,STONE,1947-06-11,M,F,20000,4,High School,Skilled Manual,Y
11033,MR.,JAIME,NATH,1947-09-23,M,M,20000,4,High School,Skilled Manual,Y
11034,MRS.,EBONY,GONZALEZ,1947-06-19,M,F,20000,4,High School,Skilled Manual,Y
11035,,WENDY,DOMINGUEZ,1948-02-24,M,,10000,2,Partial High School,Clerical,Y
11036,MS.,JENNIFER,RUSSELL,1978-12-18,M,F,60000,0,Partial College,Skilled Manual,Y
11037,MS.,CHLOE,GARCIA,1977-11-27,S,F,40000,0,Partial High School,Clerical,N
11038,MRS.,DIANA,HERNANDEZ,1948-03-23,M,F,10000,2,Partial High School,Clerical,Y
11039,MR.,MARC,MARTIN,1948-12-17,M,M,30000,3,Partial College,Clerical,Y
11040,MR.,JESSE,MURPHY,1977-08-01,M,M,30000,0,Partial College,Skilled Manual,Y
11041,MS.,AMANDA,CARTER,1977-10-16,M,F,60000,0,Partial College,Skilled Manual,Y
11042,MS.,MEGAN,SANCHEZ,1977-06-13,M,F,70000,0,Partial College,Skilled Manual,Y
11043,MR.,NATHAN,SIMMONS,1976-02-24,M,M,60000,0,Partial College,Skilled Manual,Y
11044,MR.,ADAM,FLORES,1949-05-24,M,M,20000,2,Partial High School,Clerical,Y
11045,MR.,LEONARD,NARA,1950-05-19,S,M,30000,3,High School,Skilled Manual,N
11046,MRS.,CHRISTINE,YUAN,1950-03-22,M,F,30000,3,High School,Skilled Manual,Y
11047,MRS.,JACLYN,LU,1950-02-27,M,F,30000,3,High School,Skilled Manual,N
11048,MR.,JEREMY,POWELL,1950-11-22,M,M,30000,3,High School,Skilled Manual,Y
11049,MS.,CAROL,RAI,1980-07-18,S,F,40000,0,Partial High School,Clerical,Y
11050,MR.,ALAN,ZHENG,1951-09-07,M,M,30000,3,High School,Skilled Manual,Y
11051,MR.,DANIEL,JOHNSON,1951-08-04,S,M,30000,3,High School,Skilled Manual,N
11052,MRS.,HEIDI,LOPEZ,1951-08-07,S,F,40000,2,Partial College,Clerical,N
11053,MS.,ANA,PRICE,1980-08-20,M,F,60000,0,Partial College,Skilled Manual,N
11054,MRS.,DEANNA,MUNOZ,1952-03-10,M,F,40000,2,Partial College,Skilled Manual,Y
11055,MR.,GILBERT,RAJE,1952-03-05,M,M,40000,2,Partial College,Skilled Manual,Y
11056,MRS.,MICHELE,NATH,1953-04-03,M,F,40000,3,Partial College,Skilled Manual,Y
11057,MR.,CARL,ANDERSEN,1953-10-12,M,M,70000,2,Graduate Degree,Management,Y
11058,MR.,MARC,DIAZ,1954-04-27,M,M,80000,2,Partial College,Skilled Manual,Y
11059,MRS.,ASHLEE,ANDERSEN,1954-04-01,S,F,80000,2,Partial College,Skilled Manual,Y
11060,MR.,JON,ZHOU,1954-03-17,M,M,80000,2,Partial College,Skilled Manual,Y
11061,MR.,TODD,GAO,1954-02-27,M,M,80000,2,Partial College,Skilled Manual,Y
11062,MR.,NOAH,POWELL,1975-09-02,M,M,40000,0,High School,Skilled Manual,Y
11063,MS.,ANGELA,MURPHY,1975-04-07,S,F,40000,0,High School,Skilled Manual,Y
11064,MR.,CHASE,REED,1975-12-07,M,M,40000,0,High School,Skilled Manual,Y
11065,MS.,JESSICA,HENDERSON,1973-10-09,M,F,60000,0,Partial College,Skilled Manual,N
11066,MS.,GRACE,BUTLER,1973-11-27,M,F,70000,0,Partial College,Professional,Y
11067,MR.,CALEB,CARTER,1976-09-25,S,M,60000,0,Partial College,Professional,Y
11068,MRS.,TIFFANY,LIANG,1955-09-23,S,F,80000,2,High School,Skilled Manual,Y
11069,MRS.,CAROLYN,NAVARRO,1955-09-21,S,F,80000,2,High School,Skilled Manual,N
11070,MR.,WILLIE,RAJI,1955-04-05,M,M,80000,2,High School,Skilled Manual,Y
11071,MRS.,LINDA,SERRANO,1955-06-26,S,F,80000,2,High School,Skilled Manual,Y
11072,MRS.,CASEY,LUO,1955-02-06,S,F,80000,2,High School,Skilled Manual,N
11073,MRS.,AMY,YE,1956-08-14,S,F,70000,2,High School,Skilled Manual,Y
11074,MR.,LEVI,ARUN,1956-08-28,S,M,70000,2,High School,Skilled Manual,Y
11075,MRS.,FELICIA,JIMENEZ,1957-11-16,S,F,80000,2,High School,Professional,Y
11076,MR.,BLAKE,ANDERSON,1957-07-13,S,M,80000,2,High School,Professional,Y
11077,MRS.,LEAH,YE,1957-09-19,S,F,80000,2,High School,Professional,N
