Sales Person-ID,Sales Persion Name,Email
ID0016,Fazle Al-Amin,fazle@datasolution.com
ID0011,Noor Mehdi,noor@datasolution.com
ID0005,Bulbul Rabbi,bulbul@datasolution.com
ID0015,Amin Russell,amin@datasolution.com
ID0002,Bipu Nurul,bipu@datasolution.com
ID0014,Rahman Zakir,rahman@datasolution.com
ID0003,Murad Zakir,murad@datasolution.com
ID0001,Rana Mustafizur,rana@datasolution.com
ID0013,Tithi Israt,tithi@datasolution.com
ID0004,Anika Rumi,anika@datasolution.com
ID0019, Habiba,habiba@datasolution.com
ID0009,Rima Tanzina,rima@datasolution.com
ID0010,Basari Monsoon,basari@datasolution.com
ID0017,Jahura Anwara,jahura@datasolution.com
ID0006,Siddiqa Nusrat,siddiqa@datasolution.com
ID0008,Jhilik Kulchum,jhilik@datasolution.com
ID0012,Jessica Tanzina,jessica@datasolution.com
ID0007,Jahan Hosneara,jahan@datasolution.com
ID0018,Shuraia Jenin,shuraia@datasolution.com
